0x0E814810 - Sec_RFT-SpawnerAttacker-B.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x798005DE - c_PES-RoadEndZoneC_CN.zon - Zone { unk_01: 16, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 0 }
0x0D80081D - SCT_PointD-BGA.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x0E814820 - Sec_RFT-BackGroundWest-B.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0xA9873BA5 - Zone_002.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x988CA23F - Zone_001.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x320A7337 - Dummy_LegR.zon - Zone { unk_01: 24, unk_02: 128, zone_type: Capsule, unk_04: 3, unk_05: 0, unk_06: 107 }
0x610268F1 - c_CTF-Base_CN.zon - Zone { unk_01: 16, unk_02: 128, zone_type: Capsule, unk_04: 1, unk_05: 0, unk_06: 0 }
0xB3102E5D - c_Fitting-OutB_CN.zon - Zone { unk_01: 16, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 0 }
0x0E81482E - Sec_RFT-BuildingMiddleLower-B.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x0D8242CE - PointCMain.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x0D800821 - SCT_PointE-BGC.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x0E814808 - Sec_RFT-PointB-C.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x320A733A - Dummy_CalfL.zon - Zone { unk_01: 24, unk_02: 128, zone_type: Capsule, unk_04: 3, unk_05: 0, unk_06: 110 }
0x0E814817 - Sec_RFT-PointC-C.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x0D800816 - SCT_PointA-Main.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0xEC700D1D - c_US-HG-Hammer_CN01.zon - Zone { unk_01: 24, unk_02: 128, zone_type: Capsule, unk_04: 3, unk_05: 0, unk_06: 0 }
0x0C8056A7 - c_MTR-B-WallMiddle-Cap_CN.zon - Zone { unk_01: 16, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 0 }
0x0D825F25 - PointEMain.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x0E814828 - Sec_RFT-PointABackGroundLower.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x301576FE - Zone_001.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x79800029 - c_RSR-StorageAB_CN.zon - Zone { unk_01: 16, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 0 }
0x0D80081B - SCT_PointB-BGA.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x79800349 - c_RSR-GarbageLittleA_CN.zon - Zone { unk_01: 16, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 0 }
0x6E8262A1 - RFT_MainLevelSector.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x0E814826 - Sec_RFT-PointB-ALower.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0xFB711B91 - HeliPadTop.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0xB00215E4 - Zone_LoadOut.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0xEC71065B - c_vh-ATruck_CN01.zon - Zone { unk_01: 16, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 0 }
0xEC7018D3 - c_GRU-HGMalatok-100_CN01.zon - Zone { unk_01: 24, unk_02: 128, zone_type: Capsule, unk_04: 3, unk_05: 0, unk_06: 0 }
0x5E842B77 - Zone_001.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0xA9879777 - Zone_002.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x0E814806 - Sec_RFT-PointB-A.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x0E814811 - Sec_RFT-TwoTowerB.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x7E8083F7 - c_PES-Supply-Boxes-B_CN.zon - Zone { unk_01: 16, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 0 }
0x0E814822 - Sec_RFT-BackGroundNorth-B.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0xEC700D20 - c_US-HG-Hammer_CN04.zon - Zone { unk_01: 24, unk_02: 128, zone_type: Capsule, unk_04: 3, unk_05: 0, unk_06: 0 }
0x0D82ADA8 - PointA_Main.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x0D800817 - SCT_PointA-BGA.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0xFB711B97 - SectorC-SpawnBridge.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x08800041 - Object.zon - Zone { unk_01: 16, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 0 }
0x0D82685D - PointBMain.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x6E83CA30 - Tomks9Final_MainAMBcolour.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x0B80864A - PointB-BuildingInteriorL (002).zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x0E800D99 - c_OR-PipesPile_CN.zon - Zone { unk_01: 16, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 0 }
0x43803F59 - c_Blitz_Mid_CN_L.zon - Zone { unk_01: 16, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 0 }
0xEC7018D9 - c_GRU-HGMalatok-100_CN07.zon - Zone { unk_01: 24, unk_02: 128, zone_type: Capsule, unk_04: 3, unk_05: 0, unk_06: 0 }
0x0E81481B - Sec_RFT-BridgeB.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x688131E4 - Fuck_Zone.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0xEC70493A - c_w-Drn-Stiena_CN.zon - Zone { unk_01: 16, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 0 }
0x61876D0A - Zone_001.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x0E814827 - Sec_RFT-PointA-ALower.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0xC1102D16 - c_WheelBarrow_CN.zon - Zone { unk_01: 16, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 0 }
0x0B808375 - PointB-BuildingInteriorD.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0xA9879776 - Zone_001.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x0D800820 - SCT_PointE-BGB.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x6E803635 - Sec_SKY-BG.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x0D800812 - SCT_PointE-Main.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0xFB711B9E - SectionMain-B-ContainerHouse.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0xD6701A20 - c_GRO-W-Ex-Grenade-FragGrenade_CN.zon - Zone { unk_01: 16, unk_02: 128, zone_type: Sphere(ZoneSphere { x: 0.0, y: 0.0, z: 0.0, radius: 0.04916086, unk_01: 0.0 }), unk_04: 3, unk_05: 0, unk_06: 0 }
0x320A7330 - Dummy_Head.zon - Zone { unk_01: 24, unk_02: 128, zone_type: Sphere(ZoneSphere { x: 0.039895866, y: 0.0368013, z: 0.00016563032, radius: 0.145, unk_01: 5.8750024 }), unk_04: 3, unk_05: 0, unk_06: 100 }
0x6E804851 - Sec_SKY-AmbColour-SpwLT-B.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0xFB711B94 - Sector-FakeBGWater.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0xFB711BA0 - SectionMain-ContainerHouseMid.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x0B808647 - PointB-BuildingInteriorJ-02.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x0B8083C4 - PointB-BuildingInteriorF-01.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x0D825907 - PointAMain.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0xFB702953 - c_OR-CranePipe_CN.zon - Zone { unk_01: 16, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 0 }
0x0E814825 - Sec_RFT-BackGroundSouth-A.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x0E814805 - Sec_RFT-SpawnerAttacker-A.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0xFB711BA4 - THE-UNIVERSE.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0xB3102E42 - c_Fitting-OutA_CN.zon - Zone { unk_01: 16, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 0 }
0x0D800818 - SCT_PointA-BGB.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x0B808640 - PointB-BuildingInteriorCenterB.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x0B8097EF - PointB-BuildingInteriorSpawnB-01 (002).zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x6F89407D - Zone_002.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0xFB711B9C - SectionMain-A-ContainerHouse.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x0B8083B2 - PointB-BuildingInteriorE-01.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x0E81482B - Sec_RFT-PointC-ALower.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x0E814814 - Sec_RFT-TwoTowerBScarfold.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x0D8249DA - PointDMain.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0xA3802FA1 - 18_Musee.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x320A7334 - Dummy_LeftArm.zon - Zone { unk_01: 24, unk_02: 128, zone_type: Capsule, unk_04: 3, unk_05: 0, unk_06: 105 }
0xEC71065C - c_vh-ATruck_CN02.zon - Zone { unk_01: 16, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 0 }
0x09800737 - Zone_001.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x0D82ADA3 - SpawnE_Main.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x0D80081A - SCT_PointBC.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x0B808644 - PointB-BuildingInteriorSpawnA.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0xA9877940 - minimap_zone.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0xEC704939 - c_GRU-LA-Stiena_CN.zon - Zone { unk_01: 16, unk_02: 128, zone_type: Capsule, unk_04: 3, unk_05: 0, unk_06: 0 }
0xAE11854F - c_Sofa_CN.zon - Zone { unk_01: 16, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 0 }
0xFD708C8E - Zone_001.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x0D82ADA9 - SpawnA_Main.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0xFB711B96 - SectorC.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x6F881093 - Zone_001.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0xEC700D22 - c_US-HG-Hammer_CN06.zon - Zone { unk_01: 24, unk_02: 128, zone_type: Capsule, unk_04: 3, unk_05: 0, unk_06: 0 }
0x6E808203 - PES_MainLevelSector.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0xA986B58F - Zone_001.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x6880882D - c_ShootingTarget02_CN.zon - Zone { unk_01: 24, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 0 }
0xAF1065C3 - c_DestroyedPillarA_CN.zon - Zone { unk_01: 16, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 0 }
0x320A7335 - Dummy_ForeArmR.zon - Zone { unk_01: 24, unk_02: 128, zone_type: Capsule, unk_04: 3, unk_05: 0, unk_06: 104 }
0x4C100DA8 - c_310-IndustrialServer_CN.zon - Zone { unk_01: 16, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 0 }
0x0E814809 - Sec_RFT-PointB-BDome.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x0E814824 - Sec_RFT-BackGroundSouth-B.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0xEC7018D7 - c_GRU-HGMalatok-100_CN05.zon - Zone { unk_01: 24, unk_02: 128, zone_type: Capsule, unk_04: 3, unk_05: 0, unk_06: 0 }
0xB0022246 - Zone_Weapon2.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x43803F56 - c_Blitz_Bot_CN_L.zon - Zone { unk_01: 16, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 0 }
0xB31011C6 - c_WindowBox_CN.zon - Zone { unk_01: 16, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 0 }
0x0D80081F - SCT_PointE-BGA.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0xEC700D21 - c_US-HG-Hammer_CN05.zon - Zone { unk_01: 24, unk_02: 128, zone_type: Capsule, unk_04: 3, unk_05: 0, unk_06: 0 }
0xEC7018D8 - c_GRU-HGMalatok-100_CN06.zon - Zone { unk_01: 24, unk_02: 128, zone_type: Capsule, unk_04: 3, unk_05: 0, unk_06: 0 }
0xFB711B9F - SectionMain-B-SpawnPt.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x6E803614 - Sec_SKY-SpwLT-B.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0xB00215CB - Zone_001.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0xB002224D - Zone_Comp2.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x0E814819 - Sec_RFT-PointABackGround.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0xD5700630 - LoadoutSector.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x610268F2 - c_CTF-Flag_CN.zon - Zone { unk_01: 16, unk_02: 128, zone_type: Sphere(ZoneSphere { x: 0.0, y: 0.0, z: 0.0, radius: 0.16311088, unk_01: 2.87e-43 }), unk_04: 1, unk_05: 0, unk_06: 0 }
0xC11029AA - c_FuelBottle_CN.zon - Zone { unk_01: 16, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 0 }
0xB0021504 - Zone_Weapon.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x920403B9 - c_MUB-Gaz66_CN.zon - Zone { unk_01: 16, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 0 }
0x6F87DD41 - SMR-MainSector.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x3283219B - Zone_001.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x79800128 - c_RSR-VegTreeF_CN.zon - Zone { unk_01: 16, unk_02: 128, zone_type: Capsule, unk_04: 3, unk_05: 0, unk_06: 0 }
0x6E804CC4 - Sec_SKY-AmbColour-SpwRT-B.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x0B808645 - PointB-BuildingInteriorI.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x7980034A - c_RSR-GarbagePackALarge_CN.zon - Zone { unk_01: 16, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 0 }
